matchup,round,opening_index,engine_a,engine_b,engine_a_family,engine_b_family,engine_a_rating,engine_b_rating,engine_a_color,white,black,result,engine_a_score,termination,plies,config_hash,opening_suite,source_pgn
maia2-1100__vs__maia2-1300,58,29,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,Black,MAIA2 1300,MAIA2 1100,1/2-1/2,0.5,threefold repetition,90,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,59,30,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,White,MAIA2 1100,MAIA2 1300,1-0,1.0,checkmate,117,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,60,30,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,Black,MAIA2 1300,MAIA2 1100,1/2-1/2,0.5,threefold repetition,53,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,61,31,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,White,MAIA2 1100,MAIA2 1300,0-1,0.0,checkmate,36,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,62,31,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,Black,MAIA2 1300,MAIA2 1100,1-0,0.0,checkmate,125,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,63,32,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,White,MAIA2 1100,MAIA2 1300,0-1,0.0,checkmate,78,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,64,32,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,Black,MAIA2 1300,MAIA2 1100,1-0,0.0,checkmate,103,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,65,33,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,White,MAIA2 1100,MAIA2 1300,1-0,1.0,checkmate,105,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,66,33,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,Black,MAIA2 1300,MAIA2 1100,1/2-1/2,0.5,stalemate,87,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,67,34,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,White,MAIA2 1100,MAIA2 1300,0-1,0.0,checkmate,58,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,68,34,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,Black,MAIA2 1300,MAIA2 1100,0-1,1.0,checkmate,102,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,69,35,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,White,MAIA2 1100,MAIA2 1300,1/2-1/2,0.5,threefold repetition,78,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,70,35,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,Black,MAIA2 1300,MAIA2 1100,1/2-1/2,0.5,threefold repetition,84,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,71,36,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,White,MAIA2 1100,MAIA2 1300,0-1,0.0,checkmate,60,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,72,36,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,Black,MAIA2 1300,MAIA2 1100,0-1,1.0,checkmate,84,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,73,37,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,White,MAIA2 1100,MAIA2 1300,1/2-1/2,0.5,threefold repetition,97,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,74,37,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,Black,MAIA2 1300,MAIA2 1100,1/2-1/2,0.5,threefold repetition,116,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
maia2-1100__vs__maia2-1300,75,38,MAIA2 1100,MAIA2 1300,maia2,maia2,1100,1300,White,MAIA2 1100,MAIA2 1300,0-1,0.0,checkmate,56,d31e41e2b8428d226fa6c3501db2c5191b8533cad5e937ee561da25ccbbc228e,maia-relative-strength-100.pgn,maia2-1100__vs__maia2-1300.pgn
